tcas,     p4,     Prop4-LOR-0-3-ROR-0-13,     true,    2,    MUTANT_TIME_OUT,     10,     3642.403,     3626.929,     3554.06,     72.869,     88,     89,     40.387,     0.818,     p1 = (((alim_res_s <= 740) xor (alim_res_s <= result_alt_sep_test_s)) and ((result_alt_sep_test_s <= 2) and (alim_res_s > 399)));,     
tcas,     p4,     Prop4-LOR-0-2-ROR-0--1,     true,    2,    MUTANT_TIME_OUT,     14,     3850.208,     3839.613,     3784.524,     55.089,     72,     73,     52.562,     0.754,     p1 = (((alim_res_s = 400) xor (alim_res_s >= 409)) and ((result_alt_sep_test_s <= 2) and (alim_res_s <= 740)));,     
tcas,     p4,     Prop4-ROR-3-5-ROR-4-12,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     15.208,     15.159,     7.869,     7.29,     10,     10,     0.786,     0.729,     p1 = (((Up_Separation_s >= alim_res_s) and (alim_res_s < 400)) => false);,     
tcas,     p4,     Prop4-LOR-1-0-ROR-4-12,     true,    0,    TRUE_FOR_MAX_STEPS,     5,     26.484,     26.265,     14.687,     11.578,     18,     18,     0.815,     0.643,     p1 = (((alim_res_s <= 499) xor (alim_res_s = 400)) => false);,     
tcas,     p4,     Prop4-LOR-0-4-ROR-0-2,     true,    2,    MINIMAL_EXISTS_UKNOWN,     9,     3451.381,     3436.183,     3374.371,     61.812,     91,     91,     37.081,     0.679,     p1 = (((alim_res_s = 400) xor (alim_res_s >= 500)) and ((alim_res_s <= 740) and (result_alt_sep_test_s <= 2)));,     
tcas,     p4,     Prop4-ROR-1-0-ROR-4-8,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     29.065,     28.806,     15.026,     13.78,     21,     21,     0.715,     0.656,     p1 = (((alim_res_s <= 499) xor (alim_res_s = 400)) => false);,     
tcas,     p4,     Prop4-ROR-2-2-ROR-4-13,     true,    0,    TRUE_FOR_MAX_STEPS,     5,     12.315,     12.282,     5.33,     6.952,     10,     10,     0.533,     0.695,     p1 = (((alim_res_s < 400) and (Down_Separation_s < alim_res_s)) => false);,     
tcas,     p4,     Prop4-LOR-1--1-LOR-4-1,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     48.347,     47.738,     26.931,     20.807,     29,     29,     0.928,     0.717,     p1 = (true => (result_alt_sep_test_s >= 0));,     
tcas,     p4,     Prop4-ROR-0-4-ROR-0-13,     true,    2,    MINIMAL_EXISTS_UKNOWN,     6,     1320.596,     1314.919,     1274.673,     40.246,     53,     53,     24.05,     0.759,     p1 = (((alim_res_s = 400) xor (alim_res_s = 740)) xor ((alim_res_s = 500) xor (alim_res_s = 640)));,     
tcas,     p4,     Prop4-ROR-2-5-ROR-3-5,     true,    0,    MINIMAL_MAX_LOOP_REACHED,     3,     57.635,     57.026,     29.394,     27.632,     41,     42,     0.716,     0.657,     p1 = (((Up_Separation_s < alim_res_s) and (Down_Separation_s <= alim_res_s)) => (result_alt_sep_test_s <> 2));,     
tcas,     p4,     Prop4-LOR-0-3-ROR-0-11,     true,    2,    MINIMAL_EXISTS_UKNOWN,     7,     2116.444,     2109.455,     2067.701,     41.754,     62,     62,     33.35,     0.673,     p1 = (((alim_res_s > 499) xor (alim_res_s = 400)) and ((result_alt_sep_test_s > 2) xor (result_alt_sep_test_s >= 0)));,     
