gpca,     p10,     Faulty_GPCA_Prop10-LOR-0--1-ROR-0-3,     true,    1,    MINIMAL_MAX_LOOP_REACHED,     1,     115.988,     113.124,     28.663,     84.461,     35,     36,     0.818,     2.346,     p1 = (not (out_Is_Audio_Disabled < 0));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-2-LOR-3-3,     true,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     97.049,     93.819,     31.311,     62.508,     34,     35,     0.92,     1.785,     p1 = ((((not In_Therapy) => (not In_Therapy)) or (Reservoir_Empty => (not In_Therapy))) => (out_Highest_Level_Alarm < 10));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-0-0-LOR-0-5,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     103.673,     102.71,     23.803,     78.907,     17,     17,     1.4,     4.641,     p1 = (((out_Highest_Level_Alarm <= 4) xor (out_Highest_Level_Alarm > 0)) xor ((out_Highest_Level_Alarm = 0) => System_On));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-3-ROR-3-3,     true,    0,    MINIMAL_FORALL_UNKNOWN,     2,     622.693,     622.408,     6.249,     616.159,     8,     9,     0.781,     68.462,     p1 = ((((not System_On) and (not In_Therapy)) xor ((not In_Therapy) or (not In_Therapy))) => (out_Highest_Level_Alarm <= 5));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-0-0-LOR-0-5,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     110.902,     109.917,     26.2,     83.717,     17,     17,     1.541,     4.924,     p1 = (((out_Highest_Level_Alarm <= 4) xor (out_Highest_Level_Alarm > 0)) xor ((out_Highest_Level_Alarm = 0) => System_On));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1--1-ROR-3-1,     true,    0,    TRUE_FOR_MAX_STEPS,     5,     45.386,     45.007,     8.262,     36.745,     11,     11,     0.751,     3.34,     p1 = ((((not In_Therapy) => (not In_Therapy)) xor ((not In_Therapy) xor (not In_Therapy))) => (out_Highest_Level_Alarm < 5));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-3-LOR-3-3,     true,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     105.518,     101.72,     35.241,     66.479,     34,     35,     1.036,     1.899,     p1 = ((((not In_Therapy) => (not In_Therapy)) or (Reservoir_Empty => (not In_Therapy))) => (out_Highest_Level_Alarm < 9));,     
gpca,     p1,     Faulty_GPCA_Prop1-ROR-1--1-ROR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     5,     46.674,     46.265,     10.587,     35.678,     12,     12,     0.882,     2.973,     p1 = (((System_On xor Reservoir_Empty) xor (System_On xor (not Reservoir_Empty))) => (out_Highest_Level_Alarm <= 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-2-0-ROR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     21.694,     21.501,     5.643,     15.858,     8,     8,     0.705,     1.982,     p1 = ((((not System_On) => System_On) and Reservoir_Empty) => (out_Highest_Level_Alarm >= 1));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-2-ROR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     24.772,     24.545,     5.591,     18.954,     7,     7,     0.798,     2.707,     p1 = ((((not System_On) or (not System_On)) or (System_On xor (not System_On))) => (out_Highest_Level_Alarm < 5));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-2-ROR-3--1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     23.433,     23.245,     6.041,     17.204,     7,     7,     0.863,     2.457,     p1 = ((((not System_On) or (not System_On)) or (System_On xor (not System_On))) => (out_Highest_Level_Alarm < 5));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-0-0-LOR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     126.394,     125.485,     23.219,     102.266,     17,     17,     1.365,     6.015,     p1 = (((out_Highest_Level_Alarm <= 0) => (not System_On)) and ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm >= 0)));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-3-LOR-3-3,     true,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     104.584,     100.764,     35.744,     65.02,     34,     35,     1.051,     1.857,     p1 = ((((not In_Therapy) => (not In_Therapy)) or (Reservoir_Empty => (not In_Therapy))) => (out_Highest_Level_Alarm < 9));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-0-1-LOR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     200.894,     199.846,     29.32,     170.526,     19,     19,     1.543,     8.975,     p1 = (((out_Highest_Level_Alarm = 0) => System_On) => ((out_Highest_Level_Alarm > 4) xor (out_Highest_Level_Alarm >= 1)));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-0-3-LOR-0-7,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     104.952,     103.543,     37.875,     65.668,     20,     20,     1.893,     3.283,     p1 = (((out_Highest_Level_Alarm = 0) and System_On) xor ((out_Highest_Level_Alarm >= 0) xor (out_Highest_Level_Alarm > 4)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-1-LOR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     159.428,     157.876,     40.187,     117.689,     20,     20,     2.009,     5.884,     p1 = (((out_Highest_Level_Alarm >= 1) xor (out_Highest_Level_Alarm >= 5)) xor ((not System_On) and (out_Highest_Level_Alarm = 0)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-1-LOR-0-7,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     149.44,     148.608,     18.993,     129.615,     16,     16,     1.187,     8.1,     p1 = (((out_Highest_Level_Alarm = 0) and (not System_On)) xor ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm > 0)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-6-ROR-0-3,     true,    2,    MINIMAL_FORALL_UNKNOWN,     2,     765.393,     764.139,     19.947,     744.192,     19,     20,     1.049,     37.209,     p1 = (((out_Highest_Level_Alarm >= 0) and (out_Highest_Level_Alarm < 5)) and ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm >= 0)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-3-ROR-0-1,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     126.074,     125.333,     17.554,     107.779,     16,     16,     1.097,     6.736,     p1 = (((out_Highest_Level_Alarm = 0) and (not System_On)) xor ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm > 0)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-5-ROR-0-3,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     702.212,     701.771,     8.081,     693.69,     9,     10,     0.897,     69.369,     p1 = (((not System_On) => In_Therapy) => ((out_Highest_Level_Alarm = 0) => (not System_On)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-3-LOR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     387.901,     386.809,     22.493,     364.316,     17,     17,     1.323,     21.43,     p1 = (((out_Highest_Level_Alarm = 0) and (not System_On)) xor ((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 1)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-5-ROR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     130.976,     129.167,     38.213,     90.954,     22,     22,     1.736,     4.134,     p1 = (((out_Highest_Level_Alarm < 1) => (not System_On)) and ((out_Highest_Level_Alarm < 5) xor (out_Highest_Level_Alarm < 0)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-4-ROR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     158.25,     157.298,     23.005,     134.293,     16,     16,     1.437,     8.393,     p1 = (((out_Highest_Level_Alarm <= 4) xor (out_Highest_Level_Alarm < 0)) xor ((out_Highest_Level_Alarm = 0) and System_On));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-2-LOR-0-5,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     141.074,     140.178,     20.59,     119.588,     16,     16,     1.286,     7.474,     p1 = (((out_Highest_Level_Alarm = 0) and (not System_On)) xor ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm > 0)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-0-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     217.777,     215.916,     42.766,     173.15,     22,     22,     1.943,     7.87,     p1 = (((out_Highest_Level_Alarm <= 0) => (not System_On)) xor ((out_Highest_Level_Alarm >= 5) xor false));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1--1-ROR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     22.31,     22.026,     7.967,     14.059,     8,     8,     0.995,     1.757,     p1 = ((((not In_Therapy) and (not In_Therapy)) => ((not System_On) => (not System_On))) => (out_Highest_Level_Alarm >= 0));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-6-ROR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     94.275,     93.351,     25.696,     67.655,     18,     18,     1.427,     3.758,     p1 = (((not System_On) or (out_Highest_Level_Alarm > 0)) and ((out_Highest_Level_Alarm >= 0) xor (out_Highest_Level_Alarm > 4)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-4-LOR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     139.214,     138.391,     20.287,     118.104,     16,     16,     1.267,     7.381,     p1 = (((out_Highest_Level_Alarm = 0) and (not System_On)) xor ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm > 0)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-1-LOR-0-5,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     205.718,     204.056,     38.773,     165.283,     22,     22,     1.762,     7.512,     p1 = (((out_Highest_Level_Alarm <= 0) or (not System_On)) xor (System_On xor (out_Highest_Level_Alarm >= 5)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0--1-LOR-0-7,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     157.165,     156.251,     23.286,     132.965,     16,     16,     1.455,     8.31,     p1 = (((out_Highest_Level_Alarm <= 4) xor (out_Highest_Level_Alarm < 0)) xor ((out_Highest_Level_Alarm = 0) and System_On));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-0-LOR-0-7,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     158.875,     157.542,     38.802,     118.74,     19,     19,     2.042,     6.249,     p1 = (((not System_On) and (out_Highest_Level_Alarm = 0)) xor ((out_Highest_Level_Alarm > 4) xor (out_Highest_Level_Alarm > 0)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-4-ROR-3--1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     34.881,     34.541,     8.554,     25.987,     9,     9,     0.95,     2.887,     p1 = ((((not Air_In_Line) xor (not Air_In_Line)) => ((not In_Therapy) xor (not In_Therapy))) => (out_Highest_Level_Alarm <= 4));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0--1-ROR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     76.26,     75.285,     25.826,     49.459,     16,     16,     1.614,     3.091,     p1 = (((out_Highest_Level_Alarm <= 0) and (not System_On)) xor ((out_Highest_Level_Alarm < 5) xor (out_Highest_Level_Alarm <= 0)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-7-ROR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     140.332,     138.571,     45.092,     93.479,     22,     22,     2.049,     4.249,     p1 = ((System_On => (out_Highest_Level_Alarm >= 1)) and ((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 0)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-1-LOR-0-5,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     222.688,     220.67,     38.098,     182.572,     22,     22,     1.731,     8.298,     p1 = (((out_Highest_Level_Alarm <= 0) or (not System_On)) xor (System_On xor (out_Highest_Level_Alarm >= 5)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-2-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     137.841,     136.171,     43.106,     93.065,     22,     22,     1.959,     4.23,     p1 = ((System_On => (out_Highest_Level_Alarm >= 1)) and ((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 0)));,     
gpca,     p2,     Faulty_GPCA_Prop2-ROR-2--1-ROR-3-2,     true,    0,    MINIMAL_FORALL_UNKNOWN,     2,     614.415,     614.268,     3.638,     610.63,     5,     6,     0.727,     101.771,     p1 = ((((not System_On) => System_On) and Air_In_Line) => (out_Highest_Level_Alarm >= 1));,     
gpca,     p3,     Faulty_GPCA_Prop3-ROR-4-4-ROR-5-4,     true,    0,    TRUE_FOR_MAX_STEPS,     5,     306.375,     304.966,     29.814,     275.152,     30,     30,     0.993,     9.171,     p1 = ((((System_On and In_Therapy) and Reservoir_Empty) and (VTBI_High >= 0)) => (out_Highest_Level_Alarm = 4));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-0-5-ROR-0-7,     true,    3,    MINIMAL_MAX_LOOP_REACHED,     2,     1834.51,     1812.424,     1273.676,     538.748,     42,     43,     30.325,     12.529,     p1 = ((((not System_On) => In_Therapy) or ((not System_On) and (not System_On))) and (((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm <= 4)) and ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm <= 4))));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-0-3-LOR-0-10,     true,    3,    MINIMAL_MAX_LOOP_REACHED,     2,     1046.579,     1030.705,     935.467,     95.238,     38,     39,     24.617,     2.442,     p1 = ((((out_Highest_Level_Alarm >= 0) and (out_Highest_Level_Alarm >= 0)) and ((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm < 7))) and (((out_Highest_Level_Alarm >= 5) => (out_Highest_Level_Alarm >= 4)) and ((out_Highest_Level_Alarm >= 0) and (out_Highest_Level_Alarm >= 0))));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-1--1-LOR-5-3,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     620.695,     620.42,     5.351,     615.069,     7,     8,     0.764,     76.883,     p1 = (((Volume_Infused > 1) xor false) => (out_Highest_Level_Alarm >= 0));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-3-1-ROR-4-2,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     28.144,     27.909,     7.553,     20.356,     10,     10,     0.755,     2.035,     p1 = ((((In_Therapy and System_On) and Reservoir_Empty) and (Volume_Infused >= 0)) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-0-7-LOR-0-8,     true,    3,    MUTANT_TIME_OUT,     4,     3627.362,     3606.335,     3098.253,     508.082,     46,     47,     67.353,     10.81,     p1 = ((((Volume_Infused <= out_Highest_Level_Alarm) => (Volume_Infused <= out_Highest_Level_Alarm)) xor (System_On xor (out_Highest_Level_Alarm <= 4))) xor (false xor ((out_Highest_Level_Alarm < 1) or (not System_On))));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-0-3-ROR-0--1,     true,    3,    MINIMAL_MAX_LOOP_REACHED,     2,     998.689,     980.36,     892.675,     87.685,     41,     42,     21.772,     2.087,     p1 = ((((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm >= 0)) and ((out_Highest_Level_Alarm >= 0) and (out_Highest_Level_Alarm >= 0))) and (((out_Highest_Level_Alarm >= 0) and (out_Highest_Level_Alarm >= 0)) and ((out_Highest_Level_Alarm >= 0) and (out_Highest_Level_Alarm >= 0))));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-0-2-LOR-0-10,     true,    3,    MINIMAL_MAX_LOOP_REACHED,     2,     981.241,     967.602,     841.679,     125.923,     37,     38,     22.748,     3.313,     p1 = ((((Volume_Infused = VTBI_High) xor (Volume_Infused = VTBI_High)) => (Reservoir_Empty xor Reservoir_Empty)) and (((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm >= 0)) xor ((not Reservoir_Empty) xor (not Reservoir_Empty))));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-1--1-LOR-5-0,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     88.988,     87.622,     21.788,     65.834,     20,     20,     1.089,     3.291,     p1 = ((((Volume_Infused = VTBI_High) => (Volume_Infused = VTBI_High)) xor ((Volume_Infused = VTBI_High) xor (Volume_Infused = VTBI_High))) => (out_Highest_Level_Alarm < 5));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-0-5-ROR-0-8,     true,    3,    MINIMAL_FORALL_UNKNOWN,     1,     626.034,     625.384,     9.453,     615.931,     8,     9,     1.181,     68.436,     p1 = ((((Volume_Infused < 0) and (VTBI_High >= 0)) => (false xor (out_Highest_Level_Alarm = 3))) or (((Volume_Infused < 0) xor (VTBI_High = 4)) and ((Volume_Infused > 3) => (VTBI_High = 3))));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-4-ROR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     87.726,     86.325,     21.174,     65.151,     17,     17,     1.245,     3.832,     p1 = (((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 1)) xor ((not System_On) and (out_Highest_Level_Alarm = 0)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-4-ROR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     85.224,     84.23,     20.774,     63.456,     17,     17,     1.222,     3.732,     p1 = (((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 1)) xor ((not System_On) and (out_Highest_Level_Alarm = 0)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0--1-ROR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     128.681,     127.633,     21.764,     105.869,     18,     18,     1.209,     5.881,     p1 = (((out_Highest_Level_Alarm >= 1) and (out_Highest_Level_Alarm <= 4)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-1-LOR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     132.175,     130.796,     22.829,     107.967,     18,     18,     1.268,     5.998,     p1 = (((out_Highest_Level_Alarm >= 1) and (out_Highest_Level_Alarm <= 4)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-4-ROR-0-0,     true,    2,    MINIMAL_FORALL_UNKNOWN,     2,     675.691,     674.487,     18.805,     655.682,     17,     18,     1.106,     36.426,     p1 = (((out_Highest_Level_Alarm >= 8) xor (out_Highest_Level_Alarm <= 7)) and ((out_Highest_Level_Alarm < 8) and (out_Highest_Level_Alarm <= 4)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-1-ROR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     110.474,     108.929,     30.537,     78.392,     21,     21,     1.454,     3.732,     p1 = (((out_Highest_Level_Alarm > 4) or System_On) => ((out_Highest_Level_Alarm = 0) xor (out_Highest_Level_Alarm <= 4)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1-0-LOR-2-0,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     29.962,     29.785,     5.142,     24.643,     8,     8,     0.642,     3.08,     p1 = (((not Occlusion) xor Occlusion) => (out_Highest_Level_Alarm < 5));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-1-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     71.923,     71.273,     16.761,     54.512,     15,     15,     1.117,     3.634,     p1 = (((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 1)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-3-ROR-0-1,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     69.686,     68.905,     18.364,     50.541,     16,     16,     1.147,     3.158,     p1 = (((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 0)) xor (System_On and (out_Highest_Level_Alarm = 0)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-0-ROR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     319.75,     318.71,     22.531,     296.179,     18,     18,     1.251,     16.454,     p1 = (((not System_On) and (out_Highest_Level_Alarm = 0)) xor ((out_Highest_Level_Alarm < 5) xor (out_Highest_Level_Alarm <= 0)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-2-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     259.679,     258.522,     29.901,     228.621,     17,     17,     1.758,     13.448,     p1 = (((out_Highest_Level_Alarm > 0) xor (out_Highest_Level_Alarm >= 5)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0--1-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     331.274,     329.863,     36.177,     293.686,     17,     17,     2.128,     17.275,     p1 = (((out_Highest_Level_Alarm > 0) xor (out_Highest_Level_Alarm >= 5)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-1-ROR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     166.948,     164.653,     51.89,     112.763,     21,     21,     2.47,     5.369,     p1 = (((out_Highest_Level_Alarm > 4) or System_On) => ((out_Highest_Level_Alarm = 0) xor (out_Highest_Level_Alarm <= 4)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1-0-LOR-2-0,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     49.478,     49.251,     10.675,     38.576,     8,     8,     1.334,     4.822,     p1 = (((not Occlusion) xor Occlusion) => (out_Highest_Level_Alarm < 5));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1--1-LOR-2-1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     57.825,     57.487,     9.807,     47.68,     9,     9,     1.089,     5.297,     p1 = (((not Occlusion) xor Occlusion) => (out_Highest_Level_Alarm < 5));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-2-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     320.068,     318.861,     32.802,     286.059,     17,     17,     1.929,     16.827,     p1 = (((out_Highest_Level_Alarm > 0) xor (out_Highest_Level_Alarm >= 5)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0--1-ROR-0-1,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     492.911,     491.471,     33.463,     458.008,     18,     18,     1.859,     25.444,     p1 = (((not System_On) and (out_Highest_Level_Alarm = 0)) xor ((out_Highest_Level_Alarm < 5) xor (out_Highest_Level_Alarm <= 0)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-2-ROR-0-1,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     65.446,     64.762,     17.157,     47.605,     16,     16,     1.072,     2.975,     p1 = (((out_Highest_Level_Alarm <= 0) => (not System_On)) and ((out_Highest_Level_Alarm >= 0) => (out_Highest_Level_Alarm < 5)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-0-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     123.02,     122.014,     19.279,     102.735,     18,     18,     1.071,     5.707,     p1 = (((out_Highest_Level_Alarm >= 1) and (out_Highest_Level_Alarm <= 4)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
