wbs,     p1,     Prop1-ROR-3-0-ROR-6-15,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     69.071,     68.131,     55.631,     12.5,     26,     26,     2.139,     0.48,     p1 = ((((pedal_r <= 2) and (pedal_r <= 4)) and (not skid_r)) => (((AltPressure_r < NormalPressure_r) or (AltPressure_r = NormalPressure_r)) and ((NormalPressure_r < 4) and (AltPressure_r = 0))));,     
wbs,     p1,     Prop1-ROR-1-7-ROR-6-17,     true,    2,    TRUE_FOR_MAX_STEPS,     9,     679.455,     640.774,     605.504,     35.27,     58,     58,     10.439,     0.608,     p1 = ((((((pedal_r = -3) and (-3 = (-1))) xor ((pedal_r <= -1) and (-1 = (-1)))) or ((pedal_r < 5) => ((pedal_r >= -3) and (-3 = (-1))))) or (((pedal_r = 3) => (pedal_r = 5)) xor (((pedal_r <= -1) and (-1 = (-1))) or (pedal_r = 3)))) => (((NormalPressure_r > 3) => (NormalPressure_r = 5)) and ((AltPressure_r = 0) and (NormalPressure_r >= 0))));,     
wbs,     p1,     Prop1-ROR-0-7-ROR-0-14,     true,    4,    MINIMAL_EXISTS_UKNOWN,     4,     4114.507,     4084.444,     4062.353,     22.091,     38,     38,     106.904,     0.581,     p1 = (((((NormalPressure_r < 6) and (AltPressure_r = 0)) and ((AltPressure_r = 0) and (AltPressure_r = 0))) and (((AltPressure_r = 0) and (AltPressure_r = 0)) and ((AltPressure_r = 0) and (AltPressure_r = 0)))) and ((((AltPressure_r = 0) and (AltPressure_r = 0)) and ((AltPressure_r = 0) and (AltPressure_r = 0))) and (((AltPressure_r = 0) and (AltPressure_r = 0)) and ((AltPressure_r = 0) and (AltPressure_r = 0)))));,     
wbs,     p1,     Prop1-LOR-1-8-ROR-6-6,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     260.001,     245.138,     221.833,     23.305,     37,     37,     5.995,     0.629,     p1 = (((((pedal_r >= 3) => (pedal_r = 3)) xor ((pedal_r <= 3) and (pedal_r <= 5))) => ((((pedal_r >= -2) and (-2 = (-1))) xor ((pedal_r >= -2) and (-2 = (-1)))) xor ((pedal_r < 3) or (pedal_r = 1)))) => (((NormalPressure_r <= 5) xor (NormalPressure_r = 4)) and ((AltPressure_r = 0) and (AltPressure_r <= NormalPressure_r))));,     
wbs,     p1,     Prop1-LOR-1-2-ROR-6-9,     true,    2,    TRUE_FOR_MAX_STEPS,     7,     452.874,     425.376,     395.045,     30.331,     49,     49,     8.062,     0.619,     p1 = ((((skid_r => ((pedal_r <= 7) and (7 = (-1)))) and (((pedal_r >= -3) and (-3 = (-1))) => (pedal_r < 3))) xor ((skid_r => ((pedal_r >= -3) and (-3 = (-1)))) xor (((pedal_r >= 7) and (7 = (-1))) => ((pedal_r >= -3) and (-3 = (-1)))))) => (((AltPressure_r <= NormalPressure_r) and (AltPressure_r = 0)) and ((NormalPressure_r > 3) => (NormalPressure_r = 5))));,     
wbs,     p1,     Prop1-LOR-3-8-ROR-6-3,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     86.693,     85.599,     70.113,     15.486,     26,     26,     2.696,     0.595,     p1 = ((((pedal_r <= 2) and (pedal_r <= 4)) and (not skid_r)) => (((AltPressure_r < NormalPressure_r) or (AltPressure_r = NormalPressure_r)) and ((NormalPressure_r < 4) and (AltPressure_r = 0))));,     
wbs,     p1,     Prop1-LOR-0-5-ROR-0-2,     true,    4,    MUTANT_TIME_OUT,     2,     3962.31,     3933.288,     3912.495,     20.793,     36,     37,     108.68,     0.561,     p1 = (((((AltPressure_r = 0) and (AltPressure_r = 0)) and ((AltPressure_r = 0) and (AltPressure_r = 0))) and (((AltPressure_r <= NormalPressure_r) and (AltPressure_r = 0)) and ((AltPressure_r = 0) and (AltPressure_r = 0)))) and ((((AltPressure_r = 0) and (AltPressure_r = 0)) and ((AltPressure_r = 0) and (AltPressure_r = 0))) and (((AltPressure_r = 0) and (AltPressure_r = 0)) and ((AltPressure_r = 0) and (AltPressure_r = 0)))));,     
wbs,     p1,     Prop1-LOR-0-7-ROR-0-3,     true,    4,    MINIMAL_EXISTS_UKNOWN,     4,     3558.122,     3532.71,     3514.818,     17.892,     38,     38,     92.495,     0.47,     p1 = (((((AltPressure_r <= NormalPressure_r) and (NormalPressure_r < 6)) and ((AltPressure_r = 0) and (AltPressure_r = 0))) and (((AltPressure_r = 0) and (AltPressure_r = 0)) and ((AltPressure_r = 0) and (AltPressure_r = 0)))) and ((((AltPressure_r = 0) and (AltPressure_r = 0)) and ((AltPressure_r = 0) and (AltPressure_r = 0))) or (((AltPressure_r = 0) and (AltPressure_r = 0)) or ((AltPressure_r = 0) and (AltPressure_r = 0)))));,     
wbs,     p1,     Prop1-ROR-0-8-ROR-0-15,     true,    4,    MUTANT_TIME_OUT,     2,     3641.336,     3592.837,     3570.34,     22.497,     48,     49,     74.382,     0.459,     p1 = (((((pedal_r = NormalPressure_r) xor (pedal_r = NormalPressure_r)) xor ((pedal_r = NormalPressure_r) xor (pedal_r = NormalPressure_r))) xor ((((pedal_r > 15) and (15 = (-1))) xor (NormalPressure_r <= 13)) => ((pedal_r = NormalPressure_r) xor (pedal_r = NormalPressure_r)))) => ((((pedal_r = NormalPressure_r) xor (pedal_r = NormalPressure_r)) xor ((pedal_r = NormalPressure_r) xor (pedal_r = NormalPressure_r))) xor (((pedal_r = NormalPressure_r) xor (pedal_r = NormalPressure_r)) xor ((pedal_r = NormalPressure_r) xor (pedal_r = NormalPressure_r)))));,     
wbs,     p1,     Prop1-LOR-0-6-ROR-0--1,     true,    4,    MINIMAL_EXISTS_UKNOWN,     4,     3818.849,     3795.637,     3778.057,     17.58,     36,     36,     104.946,     0.488,     p1 = (((((not skid_r) and (not skid_r)) => (skid_r and ((pedal_r >= 8) and (8 = (-1))))) or ((((pedal_r <= -2) and (-2 = (-1))) => (AltPressure_r < 0)) or ((pedal_r = NormalPressure_r) xor ((pedal_r >= 6) and (6 = (-1)))))) => ((((NormalPressure_r >= 8) xor (AltPressure_r = 1)) or ((AltPressure_r = 0) => (NormalPressure_r <= -1))) => (((AltPressure_r = -2) xor (NormalPressure_r = 1)) and (((pedal_r = -2) and (-2 = (-1))) xor ((pedal_r < -8) and (-8 = (-1)))))));,     
wbs,     p1,     Prop1-ROR-1-4-ROR-6-6,     true,    2,    TRUE_FOR_MAX_STEPS,     10,     576.106,     546.899,     515.057,     31.842,     51,     51,     10.099,     0.624,     p1 = ((((((pedal_r < -1) and (-1 = (-1))) and ((pedal_r >= -3) and (-3 = (-1)))) xor ((not skid_r) xor ((pedal_r >= 7) and (7 = (-1))))) or (((pedal_r <= 4) xor (pedal_r = 0)) or ((not skid_r) xor (pedal_r >= 0)))) => (((NormalPressure_r < 4) xor (NormalPressure_r = 5)) and ((AltPressure_r = 0) and (AltPressure_r <= NormalPressure_r))));,     
