infusion,     p7,     Faulty_Prop7-ROR-0-3-ROR-0-8,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     190.849,     188.767,     142.602,     46.165,     24,     24,     5.941,     1.923,     p1 = (((Commanded_Flow_Rate >= 1) => (Current_System_Mode >= 2)) and ((Current_System_Mode >= 0) and (Current_System_Mode <= 8)));,     
infusion,     p7,     Faulty_Prop7-ROR-0-2-ROR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     379.197,     376.659,     324.063,     52.596,     32,     32,     10.126,     1.643,     p1 = (((Current_System_Mode <= 8) xor (Current_System_Mode = 5)) xor ((Current_System_Mode < 2) and (Current_System_Mode < Commanded_Flow_Rate)));,     
infusion,     p7,     Faulty_Prop7-ROR-0-0-ROR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     406.471,     403.782,     348.589,     55.193,     32,     32,     10.893,     1.724,     p1 = (((Current_System_Mode > 1) or (Commanded_Flow_Rate <= Current_System_Mode)) xor ((Current_System_Mode = 5) xor (Current_System_Mode > 8)));,     
infusion,     p7,     Faulty_Prop7-LOR-0--1-ROR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     441.621,     438.475,     379.222,     59.253,     36,     36,     10.533,     1.645,     p1 = (((Commanded_Flow_Rate <= Current_System_Mode) or (Current_System_Mode > 1)) xor ((Current_System_Mode > 8) xor (Current_System_Mode = 5)));,     
infusion,     p7,     Faulty_Prop7-ROR-0-3-ROR-0-5,     true,    2,    TRUE_FOR_MAX_STEPS,     7,     324.083,     321.926,     274.99,     46.936,     30,     30,     9.166,     1.564,     p1 = (((Current_System_Mode >= 2) or (Commanded_Flow_Rate = 0)) and ((Current_System_Mode < 0) xor (Current_System_Mode <= 8)));,     
infusion,     p7,     Faulty_Prop7-ROR-1-1-ROR-2-8,     true,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     89.94,     88.513,     36.825,     51.688,     35,     36,     1.052,     1.435,     p1 = ((Current_System_Mode > 8) => (Commanded_Flow_Rate = 7));,     
infusion,     p7,     Faulty_Prop7-LOR-0--1-ROR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     513.395,     509.972,     450.502,     59.47,     36,     36,     12.513,     1.651,     p1 = (((Commanded_Flow_Rate <= Current_System_Mode) or (Current_System_Mode > 1)) xor ((Current_System_Mode > 8) xor (Current_System_Mode = 5)));,     
infusion,     p7,     Faulty_Prop7-LOR-0-0-ROR-0-8,     true,    2,    TRUE_FOR_MAX_STEPS,     7,     427.273,     423.338,     344.54,     78.798,     34,     34,     10.133,     2.317,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)) and ((Current_System_Mode <= 8) xor (Current_System_Mode < 0)));,     
infusion,     p7,     Faulty_Prop7-ROR-1-2-ROR-2-6,     true,    0,    TRUE_FOR_MAX_STEPS,     257,     594.964,     588.887,     228.04,     360.847,     264,     264,     0.863,     1.366,     p1 = ((Current_System_Mode > 8) => (Commanded_Flow_Rate > 255));,     
infusion,     p7,     Faulty_Prop7-LOR-0-0-ROR-0-8,     true,    2,    TRUE_FOR_MAX_STEPS,     7,     342.151,     339.185,     270.919,     68.266,     34,     34,     7.968,     2.007,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)) and ((Current_System_Mode <= 8) xor (Current_System_Mode < 0)));,     
infusion,     p7,     Faulty_Prop7-ROR-1-3-ROR-2-4,     true,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     85.122,     83.873,     33.897,     49.976,     35,     36,     0.968,     1.388,     p1 = ((Current_System_Mode > 8) => (Commanded_Flow_Rate = 7));,     
infusion,     p7,     Faulty_Prop7-ROR-1-1-ROR-2-8,     true,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     93.081,     91.594,     36.968,     54.626,     35,     36,     1.056,     1.517,     p1 = ((Current_System_Mode > 8) => (Commanded_Flow_Rate = 7));,     
